id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
199,1,49,0,45,1,1,0,1,120,4,0.69555992
200,1,44,0,67,1,0,0,1,120,5,0.69555992
201,1,32,0,67,1,0,0,1,120,4,-0.77125508
202,0,32,1,67,1,0,0,1,25,4,-1.5046625
203,0,39,0,5,1,0,1,0,56,4,-0.40455133
204,0,50,0,112,1,0,0,0,30,3,-0.77125508
205,1,28,0,88,0,1,0,1,60,3,0.69555992
206,0,22,0,112,0,0,0,1,30,3,0.69555992
207,0,33,0,45,1,0,0,0,120,4,0.32885617
208,0,24,0,35,1,0,1,1,30,4,1.0622636
209,0,35,0,35,1,0,1,1,90,4,-0.77125508
210,0,34,0,88,0,0,1,0,45,3,1.0622636
211,1,63,0,5,1,0,1,1,60,3,0.32885617
212,0,31,0,67,0,0,0,0,120,4,1.0622636
213,1,46,0,67,1,0,0,1,120,4,-1.1379588
214,0,23,0,67,1,0,0,1,120,4,-1.1379588
215,0,35,0,45,1,0,0,1,60,3,0.32885617
216,0,24,0,67,1,1,0,1,60,2,0.69555992
217,1,56,0,67,1,0,0,1,120,3,-0.03784757
218,0,26,0,88,1,0,1,1,45,3,0.69555992
219,1,34,1,88,1,0,1,1,60,2,-0.03784757
220,0,29,0,138,1,0,1,1,60,3,1.0622636
221,1,21,1,67,0,0,1,0,120,2,0.69555992
222,0,61,0,35,1,0,0,0,120,4,-1.1379588
223,1,20,0,112,1,0,0,0,120,5,1.4289674
224,1,27,1,112,1,0,0,1,45,3,0.69555992
225,0,26,0,55,0,0,1,1,45,3,0.32885617
226,0,37,1,67,1,1,0,1,120,3,1.4289674
227,0,29,0,55,1,0,1,1,30,2,1.4289674
228,1,19,1,25,0,1,0,0,80,3,0.32885617
229,0,68,0,15,1,0,0,1,60,4,0.69555992
230,0,36,0,112,0,0,1,0,120,5,-0.40455133
231,0,51,0,25,1,0,0,0,50,5,1.4289674
232,0,30,1,200,1,0,1,1,20,3,1.0622636
233,0,27,0,67,0,0,1,1,120,3,0.32885617
234,0,59,0,55,1,0,1,1,30,2,1.4289674
235,1,23,0,15,1,1,0,1,45,3,0.69555992
236,0,34,0,112,1,0,0,1,45,3,-0.40455133
237,0,38,0,67,1,0,0,1,120,2,0.32885617
238,0,26,1,25,0,0,0,1,90,3,1.4289674
239,0,19,0,67,0,0,1,0,20,1,0.32885617
240,0,19,0,112,1,0,1,0,60,5,-1.5046625
241,1,33,1,112,0,0,1,1,60,4,0.69555992
